,id,artist,title,album,popularity,artist_ids,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
11,26TLQjnzXwhBx87lNkdiVj,RIP$tacks,Intro (Stack It and Roll),White Socks,50,6FkzJG8DGaHvPfyOAJ1PpH,0.499,0.522,11,-18.15,1,0.0278,0.000184,0.875,0.166,0.964,139.569,60709,4
12,5ygPb3YNsaOJ3R8Vv7nkBk,Dutch Nazari,Stupido paradosso,Amore povero,21,2mHrcXHBgPciUOYh3JHISu,0.409,0.747,4,-7.394,1,0.268,0.254,1.41e-06,0.073,0.419,81.94,244625,4
13,5ZahQIsfOhgRoLS2UpUN7J,RL Grime,Take It Away,NOVA,58,"5eIbEEQnDM8yuDVB0bimSP, 7c0XG5cIJTrrAgEC3ULPiq, 65rDIPdQD7ijLSOq32cMXo",0.594,0.815,8,-3.47,1,0.0423,0.367,0.0,0.0948,0.339,137.933,236522,4
14,0bLGHAIWrFarrwUWBaG3ZS,PTK,Wut zur Veränderung,Ungerächte Welt,23,3Y3DTBhCrSM8Jw21adKpb9,0.675,0.829,1,-6.109,1,0.413,0.289,0.0,0.0694,0.508,94.449,303317,4
15,3se37ozhjxDfoat7tq4X5g,Redstar Radi,Pray,Pray,39,"3IMbYEUHFZ6Nkocs2GqMxp, 0zi6MV7Fg7KwWjtmEzXwyF",0.828,0.651,8,-6.111,1,0.0926,0.218,0.0,0.0789,0.118,114.986,322174,4
16,60MAp5DVTh5IlZSlPrqqcD,Flip Major,Take A Look,Take a Look,6,"2VoiSQNFO4qbYVnHBsyvZt, 0VRj0yCOv2FXJNP47XQnx5",0.758,0.574,1,-6.425,1,0.123,0.0203,1.25e-05,0.0763,0.279,140.062,210000,4
17,52jC5QLj1sazMXPIxl68l0,Zero 9:36,WWYDF,You Will Not Be Saved,56,1V599H9vfq6hWe2hGzyzI0,0.424,0.891,0,-5.279,1,0.0366,0.0039,0.0206,0.0687,0.397,94.023,175587,4
18,52ryLSZMk9ZJV1uyj8Tyu2,Hex One,Peep the Steeze,Words Worth a Thousand Pictures,18,6B3a82GUbXoMQ10rj2zNr7,0.828,0.578,6,-7.817,1,0.325,0.0746,0.0,0.133,0.812,93.95,219000,4
19,5bDv490EvT3CR6mfF78xL5,G4 Boyz,Can't Sit With Us,Control Your Jealousy,8,4ZtqSJYEh407LR6NM5hNcS,0.887,0.54,9,-8.291,0,0.784,0.0191,0.0,0.0719,0.219,135.056,226107,4
20,4MggpJSpLnVQe7GPuk0LxE,Doe Boy,Walk Down (feat. YG),Streetz Need Me 2,57,"6aLoJJxz7MV2iZ423S8tJC, 0A0FS04o6zMoto8OKPsDwY",0.747,0.533,1,-9.783,0,0.646,0.125,0.0,0.669,0.866,173.019,175005,4
21,40BxhtM7Iw9UJdYjVf86g0,Wc And The Maad Circle,A Crazy Break - Pt. 2,Curb Servin',11,2BNJSSIoivoAWGlyRb6nhq,0.465,0.623,0,-10.599,1,0.503,0.299,8.65e-05,0.279,0.795,198.344,35933,4
22,7qEsrWCvoL31GYdzLkBQzm,Alison Wonderland,Dreamy Dragon,Awake,36,"11gWrKZMBsGQWmobv3oNfW, 15iVAtD3s3FsQR4w1v6M0P",0.667,0.526,6,-6.821,1,0.0497,5.04e-05,0.0015,0.0346,0.464,118.922,261818,4
23,1dd6ZxDO0XxGoQgSj92j3Z,EnteTainment,Extase des Teufels,Teufel sei dank,34,2vOQBaXMoNcAV4wmJmVEWW,0.631,0.89,1,-4.962,1,0.28,0.0463,0.0,0.3,0.461,95.985,172640,4
24,17lut5ttkrvNwiNmEVTqS6,CHRIST DILLINGER,Thotted Up,Thotted Up,5,"5wtRHmD5xeAYuwxiteR5t3, 4OATTDv9rXD8yMZHEGwjNQ",0.77,0.489,8,-4.883,1,0.216,0.0357,0.0526,0.108,0.28,145.117,161016,5
25,5AWciRL96ctCrrfHFqiytC,Costa Gold,Sexy Lady,300,46,7q1aEytv83jXNECmyaMhgn,0.829,0.317,10,-22.067,0,0.342,0.38,0.0,0.061,0.451,116.01,215172,4
26,3V45z7s3E4NBTsZkvg9I7a,541,WATERPROOF,WATERPROOF,10,"1SnzYs0haMqXY7THFDuJZC, 6ldkZSWt8TAnVCvFaT444G, 6uWG6lyiCTBLeQyjZWEe7M, 07QmzWEZQybup3x6QtZHVu",0.477,0.86,8,-5.308,1,0.0874,0.00325,3.31e-06,0.126,0.756,150.043,201607,4
27,3Qif3r4U4UWeYS1gXpVCtK,Spice 1,Smok'Em Like A Blunt,187 He Wrote,25,4TqmaFJYM8SvuhrunxpmT3,0.881,0.573,1,-5.692,0,0.289,0.159,3.63e-06,0.0955,0.767,148.044,255160,4
28,61xQpZhP3yvMV6LIOcly4F,SpaceMan Zack,Hold My Hand,Hold My Hand,18,53dPePMlci6GqJXISlntSK,0.558,0.66,2,-6.41,1,0.0609,0.219,0.0,0.216,0.507,80.142,108487,4
29,4GNWAhk6Q6lYwnggTIoOXG,Blu,Murder Case,A Long Red Hot Los Angeles Summer Night,11,"1KeJhR0ENFviw187pD4LPT, 5PA6iCCOkq14PpMWWlhJ5T, 1PjOAwA4O7hnNutcGKrtgn",0.443,0.877,7,-5.469,0,0.324,0.518,0.0,0.61,0.677,86.205,254027,4
30,2zUgldDzRDbxxAxII3lAlg,SpaceMan Zack,Dust,Wicked,27,53dPePMlci6GqJXISlntSK,0.64,0.689,9,-7.052,1,0.038,0.17,5.92e-05,0.333,0.499,90.018,122674,4
31,3losJVcyIJSm4ONGc0H4Zs,STL GLD,Sunrise (feat. Tea Leigh),Moe Pope & The Arcitype Present: My Monday Morning Music,3,"4zFRkIEFDflyA730lgxqGB, 3gpRMRVL3aguPeUhzNv08M",0.732,0.884,0,-5.418,1,0.115,0.236,0.000125,0.0859,0.544,94.017,170869,4
32,09E4JTgP8EgVOKoZ1t0RwF,Bubba The Love Sponge,Manson - Bigger Dumber Fatter Louder,"The Clemulus Package, Vol. 2",0,60kSwdz7tkUfZHrFr8osWZ,0.594,0.582,1,-10.546,1,0.356,0.277,0.0,0.371,0.55,104.274,193463,4
33,5avQSAKB1dOEeIQBqV4jgW,2Pac,Until The End Of Time,Until The End Of Time,58,"1ZwdS5xdxEREPySFridCfh, 6tUtWRGkgU68o7EblHWxgM, 4huJyydJJ5UeK2tSuZ70gc",0.757,0.706,8,-6.665,1,0.203,0.0267,0.0,0.197,0.375,96.976,266507,4
34,33vFhGNZa44VJ0I21AOGYe,Rainbow Kitten Surprise,Recktify,"How to: Friend, Love, Freefall",43,4hz8tIajF2INpgM0qzPJz2,0.758,0.551,0,-8.879,1,0.0732,0.604,0.000663,0.104,0.365,114.892,109227,4
35,7aNXQ9W5b1W2kHoAlVYP9T,Hex One,My Story,Words Worth a Thousand Pictures,8,6B3a82GUbXoMQ10rj2zNr7,0.707,0.794,5,-8.683,0,0.089,0.0783,0.000126,0.139,0.6,94.005,216892,4
36,0AUTWJAS8dKfYtOwuGkGOZ,Kstylis,Hands up Get Low,Hands up Get Low,32,5o2jetVpyIsXvWDT27bN4k,0.836,0.338,1,-6.26,1,0.174,0.0286,0.0,0.133,0.159,175.004,177075,4
37,1Uq3IOIy1CUlHUgP6vWpum,Chance the Rapper,Smoke Break (feat. Future),Coloring Book,62,"1anyVhU62p31KFi8MEzkbf, 1RyvyyTE3xzB2ZywiAwp0i",0.705,0.453,3,-8.174,1,0.196,0.257,0.0,0.143,0.283,124.942,226494,4
38,1jx24v72WMXFSjDXgowZot,The Jacka,What Happened To The World,Tear Gas,18,1Z3HvW1V35gdsbhY20SMoU,0.701,0.668,1,-6.241,1,0.255,0.00318,3.15e-05,0.121,0.354,90.34,234893,4
39,45Ln3F9PRPYTXBcMFkZMzS,Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me,Die Lit,59,"699OTQXzgjhIYAHMy9RyPD, 5yPzzu25VzEk8qrGTLIrE1",0.912,0.755,2,-5.394,1,0.141,0.102,0.0,0.179,0.625,140.051,161200,4
40,4zr4cqKzZRLAfdcSuSIKGj,Lil Cobaine,Left,Hollywood Love Life,24,0ILo2K3FmfIh4ICcbHE7RK,0.768,0.36,1,-9.833,1,0.194,0.148,0.381,0.108,0.339,133.001,115495,4
41,6xUTtAMPEFbHsFCbhhfpvU,Bankhead,Party Girl (feat. Fetty Wap),Party Girl (feat. Fetty Wap),21,"6eEac3Bq96fI9AUin2EKE9, 6PXS4YHDkKvl1wkIl4V8DL",0.491,0.733,8,-4.916,1,0.257,0.086,0.0,0.643,0.523,126.872,186967,4
42,4xepGpmo2kv2PgRCrkWoCN,Fetty Wap,Trap Luv,Fetty Wap (Deluxe),41,6PXS4YHDkKvl1wkIl4V8DL,0.841,0.82,2,-3.946,0,0.0995,0.062,0.0,0.359,0.585,134.007,204173,4
43,4IEwc5N4Si6X7JS8yrNFrL,E-40,One Foot,History: Function & Mob Music (Deluxe Version),11,"3crnzLy8R4lVwaigKEOz7V, 4sb7rZNN93BSS6Gqgepo4v, 78VNtD59G9C4FgZRbwkGWh",0.605,0.788,8,-6.679,1,0.388,0.00786,0.0,0.0321,0.613,96.697,217973,4
44,10O3CqQ6tocbWuxzrRhF7t,Zed Yun Pavarotti,Papillon,French Cash,54,2TM7WyJwjfD5wKyX9OtIWJ,0.879,0.534,8,-8.207,0,0.0458,0.131,0.00411,0.107,0.317,137.991,253913,4
45,6hYfrFvI20IKtCXvk8kWsP,Noiseferatu,Malpensante,Noiseferatu,34,2Y3XKZXXGA7qPFrOjJqWgV,0.779,0.362,0,-9.379,1,0.374,0.272,0.0,0.113,0.796,82.99,208193,4
46,6aDyiU2cVrqh33UEnEo3WA,dodie,6/10,6/10,53,21TinSsF5ytwsfdyz5VSVS,0.262,0.163,7,-15.949,1,0.0432,0.946,0.0948,0.103,0.0394,76.501,185488,4
47,23TTbRZkQHjVcwtNFF4hQF,Elephant Man,"Jook Gal (Wine Wine) [feat. Twista, Young Bloodz & Kiprich] - Head Gawn Version",Good 2 Go,45,"6NOvBZrkd83MSD51xkq4on, 6vbY3hOaCAhC7VjucswgdS, 2OqENqJFXPORP4BUGnu2Qq, 1K6FlvOftq7555uvKY0m5v",0.949,0.746,1,-7.062,1,0.198,0.131,0.0,0.049,0.963,119.894,233360,4
48,6oV5zsbz9V2nZ79PYam9yC,NLE Choppa,Shotta Flow 2,Shotta Flow 2,63,0ErzCpIMyLcjPiwT4elrtZ,0.746,0.527,1,-6.93,1,0.259,0.00388,0.0,0.296,0.392,131.792,132987,4
49,1e1JKLEDKP7hEQzJfNAgPl,Playboi Carti,Magnolia,Playboi Carti,75,699OTQXzgjhIYAHMy9RyPD,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,181812,4
50,644yCChYHf08x4zDin1ViI,Costa Gold,Vago,.155,44,7q1aEytv83jXNECmyaMhgn,0.663,0.785,9,-7.46,0,0.424,0.602,0.0,0.103,0.5,87.918,202702,4
51,1ocT98kfsdrTKFvVB01cfz,NLE Choppa,Make Em Say (feat. Mulatto),Top Shotta,63,"0ErzCpIMyLcjPiwT4elrtZ, 3MdXrJWsbVzdn6fe5JYkSQ",0.658,0.823,1,-3.502,1,0.16,0.0103,0.0,0.0801,0.232,170.498,202954,4
52,1cFDZAhZts81G7qeRYuS6r,Webbie,Bad Bitch - Remix,Savage Life,33,"6aIm51fHkokqlJn2vzNTH8, 6z7xFFHxYkE9t8bwIF0Bvg, 4PrinKSrmILmo0kERG0Ogn",0.86,0.656,7,-6.415,1,0.264,0.0447,0.0,0.121,0.711,83.996,207667,4
53,0CqxuZTATRC23CDhEHWiDK,Costa Gold,The Cypher Murk!,The Cypher Murk!,40,"7q1aEytv83jXNECmyaMhgn, 0titiXdcUTRXpX2CFeShdk, 233YXmma3OPL1trG1x3WpS, 3GabjOPnWsQikvKkBTp4Eu, 23ot0eI6ByBW6LrlBfr2bm",0.822,0.453,10,-11.879,0,0.357,0.324,0.0,0.112,0.694,96.929,425567,4
54,3VnIAUSwxuocMBjuRhPW2N,Smokepurpp,Audi II,Deadstar 2,50,21dooacK2WGBB5amYvKyfM,0.804,0.666,10,-6.009,0,0.509,0.0577,0.0,0.106,0.533,139.929,166934,4
55,6RQzElM2iM17PDB9MsyKUw,ILL Bill,Illuminati 666,Kill Devil Hills,17,"1mMjwoytmHP5dTJbIQxN4V, 7pDkjftAxiFHomWsPNkapS",0.491,0.885,1,-2.183,1,0.256,0.154,0.0,0.217,0.606,93.288,126320,4
56,1h6oz7cRRXYH7CYuP2d8iE,Yung Ro,Frosted Flakes,Frosted Flakes,19,1mQWZPciU2mObkw2Fpgbxg,0.88,0.336,9,-15.268,0,0.714,0.0302,0.0,0.0845,0.69,129.912,140280,4
57,5G3NKZf1Gqs7dQnY4Miliy,Sidoka,Olha Pro Oclin,Doka Language,61,"7EyzyrMNgqiK8bMrbkOT9l, 29QKtXMaVczUBDiI3aPBWS",0.901,0.484,5,-11.169,0,0.117,0.0367,2.25e-05,0.198,0.766,130.02,221490,4
58,0BGTWKSlelQm6MC1cendHH,Young Darhi,Lollypop,777,24,"4g6S2KmV5fUl1heIeqaLEc, 2v3LO9KiZQXhNfj36bpLIB",0.89,0.645,3,-5.518,1,0.19,0.0347,0.0,0.118,0.441,140.028,143229,4
59,54fdfeUJQXltNu44fkRqYn,GPC,Cartoon,Audiowelt,7,0h7qB0Tv5GCRFmrscLrELQ,0.877,0.569,0,-11.049,0,0.0855,0.275,0.00621,0.0932,0.816,75.058,216400,4
60,1RUTIdTnFs8lHSc0Zr4UJB,Kid Cudi,Up Up & Away,Man On The Moon: The End Of Day (Deluxe),60,0fA0VVWsXO9YnASrzqfmYu,0.66,0.881,10,-6.119,0,0.0849,0.0722,3.4e-05,0.362,0.586,120.017,227347,4
61,2tV7U3Gvp4W53Pwe4q8QZr,B.C.,"Want Some, Get Some",West Coast Trippin' - AWOL Killa Compilation,6,"1uQ4qRLTwc2M1areyJQPPT, 4xmJlbVpyqr98R9jNvi1bu, 4RDAttm1FG1Glas6VPM7Qm, 4LVYipESQiSx3SdleRT2dx, 7yWzSIPmGC65bPM9b1Qt4m",0.877,0.645,8,-6.411,1,0.298,0.0542,0.0,0.0846,0.374,89.996,233933,4
62,4yJ61FeTLi14BHzJXzurPi,A$AP Ferg,Let It Bang (feat. ScHoolboy Q),ALWAYS STRIVE AND PROSPER,47,"5dHt1vcEm9qb8fCyLcB3HL, 5IcR3N7QB1j6KBL8eImZ8m",0.887,0.535,5,-5.368,0,0.139,0.0201,0.0,0.136,0.119,130.059,151307,4
63,6MkngJo6YeD03WbIIvYSjK,Oxymoron,You're a Bore (You Whore),The Pack Is Back,11,00Pr9IKkyFOeWNs6sVv2HS,0.27,0.97,0,-6.169,1,0.0865,0.000176,0.0142,0.221,0.625,185.649,181187,4
64,2UYIhxyLzR2vDijmKP2eSI,Phil J.,Liar,Diamond in the Rough,8,5D2KHBBywjO32ifLVWSci9,0.958,0.658,9,-6.022,1,0.0782,0.352,9.35e-06,0.0617,0.511,109.964,216033,4
65,4FJokNdsqReVFNYwdLWgue,6ix9ine,GATA,TattleTales,56,"7gZfnEnfiaHzxARJ2LeXrf, 0j9cHGhzQCSi0A7SmtUKlD",0.732,0.761,1,-4.275,0,0.183,0.0179,0.0,0.223,0.414,94.502,112460,4
66,3oZo1786gneHCj2CRAU8Fl,Pastor Troy,Above The Law,We Ready I Declare War,13,3D04N2X2w6vUGeyG94FBaY,0.74,0.734,1,-7.278,1,0.266,0.591,0.0,0.769,0.799,144.132,338160,4
67,2d7POa42MQG9wsQAqMP3Zt,Freshie,Double Back,Sorrynotsorry,38,7cYClwnBRfOxHG5rsIql9m,0.643,0.55,10,-8.466,1,0.122,0.0263,0.0,0.438,0.502,138.173,132284,4
68,2U0eFTrkWDFl6Aju58ZNCr,Pan Tostado,Intro (Parker Lewis),El Segundo,0,2SwKpfdstxyroYlrTd0BQv,0.794,0.6,9,-7.219,1,0.25,0.00736,0.832,0.114,0.584,93.641,48484,4
69,58rF7yf9bKroXLT2yMh7jl,Bedoes,Gustaw,Gustaw,49,0LX2VNf5w4iOHW1yyIqb74,0.669,0.616,1,-6.256,1,0.289,0.164,0.0,0.124,0.444,140.031,226313,4
70,3Ly3YPhZsASpgVsahs5ZJ3,SahBabii,Only Knew 1 Way,S.A.N.D.A.S.,34,7GuUYiGZOzQwq4L6gAfy1T,0.749,0.5,7,-9.268,0,0.0495,0.00987,0.0,0.11,0.174,141.988,244533,4
71,4a1IsGAeFPhYdctDIebBmE,TUZZA Globale,EMRATA,OGRODOWA 48,30,"5mufBhOA5JhyLcRr3bPYpA, 7MxUuwnjZNeWwuovexEULT, 3h3ckP1XoYp697Ub1SjjUg",0.771,0.795,0,-6.87,0,0.175,0.548,0.0,0.264,0.818,144.025,215847,4
72,2CMt0etYxVmDtGSCq8Q4hM,Smokepurpp,Drop,Deadstar,39,21dooacK2WGBB5amYvKyfM,0.98,0.397,1,-7.31,1,0.351,0.212,0.00165,0.11,0.457,123.049,94159,4
73,2Z6I3youZAlfRvsyzJAGQA,2Pac,Only God Can Judge Me (ft. Rappin' 4-Tay),All Eyez On Me,69,"1ZwdS5xdxEREPySFridCfh, 4tzxCsdhR0IIUNyzwrag4C",0.803,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.801,90.185,296907,4
74,046ytkhOT1FODqPHrF3AcQ,Dido,Girl Who Got Away,Girl Who Got Away (Expanded Edition),38,2mpeljBig2IXLXRAFO9AAs,0.525,0.414,4,-7.367,1,0.0525,0.403,0.0,0.222,0.122,83.847,203053,4
75,6sZOdOL62dM4XrefqejPTh,PTK,Aus Liebe zum Detail,Den Umständen widersprechend,18,3Y3DTBhCrSM8Jw21adKpb9,0.66,0.702,3,-7.231,0,0.0997,0.595,1.74e-05,0.11,0.399,105.254,207264,4
76,2ycXLbxiqj3z2sLeymrr20,Sadat X,Cock It Back,The State of New York vs. Derek Murphy,1,7fDLDq2weBagiAFD2j17Al,0.744,0.693,1,-3.637,0,0.282,0.00439,0.0,0.154,0.758,93.198,236640,4
77,5mrETqeTMtTtdFK4F53aGR,E-40,I Don't Work For Nobody,History: Function & Mob Music (Deluxe Version),13,"3crnzLy8R4lVwaigKEOz7V, 4sb7rZNN93BSS6Gqgepo4v",0.779,0.638,1,-6.141,1,0.431,0.0431,0.0,0.0983,0.566,101.503,232787,4
78,245dHYid2KsZoT9PLjsC6a,Seff The Gaffla,Locked Up,Livin' Kinda Lavish,5,68H2uKVBOTvylXYkaVAPCN,0.822,0.564,11,-9.669,0,0.345,0.207,6.76e-05,0.371,0.841,86.098,225133,4
79,7ryfm2E8YsugUh58AHws2A,Elephant Man,Gal Bruk,Riddim Driven: Dem Time Deh,28,6NOvBZrkd83MSD51xkq4on,0.498,0.662,10,-7.923,0,0.213,0.0193,0.0,0.28,0.432,132.495,202707,3
80,7FgBxGTU6US0D4tYLpjCW7,Sabac,Vinyl - (Bacapella),Sabacolypse,3,512XzHHqMcExxeqlNUgEIL,0.685,0.534,4,-10.282,1,0.912,0.634,0.0,0.0679,0.835,83.233,80253,3
81,4kCkjD8HfGJ0z8Gjcn1BH3,RL Grime,Grapes Alla Vodka - Salva Remix,All Trap Music,28,5eIbEEQnDM8yuDVB0bimSP,0.772,0.769,1,-5.135,1,0.0465,0.00233,0.724,0.0802,0.211,135.976,312353,4
82,4vGYEkfEOingc61NwMomYf,UNDADASEA,TAIFUN,UNDAGROUND (MXTP),36,6hZYddpRlNr42XnhZwcbgb,0.703,0.62,1,-8.23,0,0.364,0.0493,0.0,0.12,0.273,123.936,230611,4
83,0RVuovI26wYm5CIAMotQEw,Alison Wonderland,Carry On,Run,39,"11gWrKZMBsGQWmobv3oNfW, 7Af0qKIAHr3hRIZ5mbEtwj, 6sUbCA1obWzdoJ1FM3I9Ks",0.516,0.92,9,-4.37,0,0.0942,0.00804,0.614,0.801,0.332,145.027,241877,4
84,0PNYlvTB4eIX5h5vcusL7k,ELHAE,Moments (feat. Sevyn Streeter),Trouble in Paradise,32,"6TrQLQR8tUluPbmdPy6jqY, 6If57j6e3TXXk0HiLcIZca",0.366,0.372,2,-9.958,0,0.0484,0.178,0.0,0.173,0.0689,90.58,305868,4
85,6R8jVmNGN3rYDyBiaF3Qzs,Lil Xtra,Anxiety,Taking Up Space,27,7j8XINhxkD7WS4efrPxbhm,0.574,0.813,11,-5.234,1,0.0295,0.0209,0.000803,0.069,0.335,90.003,197460,4
86,3mYiYv5yn5K22EtoCiPZwJ,Ant Banks,Parlayin' (feat. Goldy),Big Badass,24,"6KnIBNJz25ik5sGjtvYFEi, 4cZm3ixjo53L1jY5PywIio",0.891,0.583,7,-8.13,1,0.256,0.0142,1.78e-05,0.258,0.644,102.017,251800,4
87,0B8P1d8lSew7PvIozhgiD2,GPC,Zimmer 304,Zimmer 304,11,0h7qB0Tv5GCRFmrscLrELQ,0.916,0.628,1,-7.012,1,0.0992,0.000745,0.0,0.256,0.0781,149.054,156667,4
88,0mF6wxdF1c683tC6eQMSgW,Tokyo Vanity,Trinity Dance,P-Valley: Season 1 (Music From the Original TV Series),39,3tyNfmlL7wNE6zaVmTWmRZ,0.74,0.838,8,-4.996,0,0.21,0.0147,0.000493,0.128,0.476,179.872,141466,4
89,2Iok1c65BqHaiFuzwpuVig,8ruki,InTTro,Green Lobby Edition 2Luxe,30,0ATaMBIaHwtM6LZpQam5r2,0.815,0.388,1,-12.047,1,0.242,0.43,7.45e-06,0.15,0.118,125.069,120240,3
90,3dDAcGtu5Tsq3EgIrImFa6,Cousin Fik,I Am a Vampire (feat. Droop E),Hacksaw Ben Thuggin,1,"10R4IEMALwGnHJVPEoumW5, 3M40ySTwNk2adC3NFLL3Zn",0.774,0.793,7,-2.681,0,0.0913,0.564,0.0,0.0774,0.362,85.973,221560,4
91,7gKhgh1G93T4sCpfydYOwq,Abney Park,Dear Ophelia,The Death Of Tragedy,19,0Wv385aRvyuQLODQLsT8Zl,0.596,0.621,3,-8.456,0,0.0379,0.0148,0.00374,0.108,0.768,88.008,290933,4
92,4u7hiFNXUeTG3A4dqQrkcd,Common,Resurrection,Resurrection,56,2GHclqNVjqGuiE5mA7BEoc,0.769,0.682,1,-12.584,1,0.354,0.0252,0.000384,0.702,0.433,91.486,227827,4
93,4kjrB4xpcXRiAjLRivGhN2,Playboi Carti,Broke Boi,Broke Boi,58,699OTQXzgjhIYAHMy9RyPD,0.833,0.423,1,-10.296,1,0.383,0.000893,2.43e-05,0.135,0.255,142.078,189322,4
94,63Otgsf01cIGkpv9h847dO,Radikal Chef,10:00 Checkout,FREERIDE 3,27,"5Bdw1DlKOvAJkLbZ7Xb7Zq, 5j8tFACNcARCZifgjtUJa2",0.737,0.63,1,-6.699,1,0.0917,0.0947,0.0,0.115,0.235,79.52,216000,4
95,4EJBnGDCXHkZssMMthoczN,Cult Mountain,Reduct,"Cult Mountain, Pt. 2",11,"2ypk9kLaI0dqddid5FXq3y, 1NsF5ctdX25DWqDwA0evAy, 1kvoEmoCVnDwVHn7V8ChaW, 2fNzq2CUYlSewJPMKERyX2, 2Qvj1it0OQswQ4zu836oWw",0.363,0.862,9,-9.39,0,0.587,0.472,0.0,0.792,0.544,97.225,319607,5
96,1RZO3o09sqG1XzptyivCrG,The Jacka,All Over Me,Tear Gas,40,1Z3HvW1V35gdsbhY20SMoU,0.734,0.61,6,-5.182,0,0.214,0.0394,0.0,0.0819,0.588,89.947,211667,4
97,4TOjXObGIt17cUHVkQ13uE,Homeboy Sandman,Grim Seasons,Humble Pi,17,"5s1QeAf7U5ELP9PTeLaicb, 4LSixDzXl43EzlPU2EydWs",0.381,0.788,3,-8.392,1,0.267,0.0872,0.000606,0.405,0.448,105.802,223293,3
98,6fNTpjfuKb5sn98sfqlXOO,Quake Matthews,Summertime Win (feat. Dylan Guthro),Summertime Win (feat. Dylan Guthro),5,"2I2GpkVOATiTrXSXCafxvO, 5E77VtqGlC6ByX7U1GcJhB",0.705,0.863,10,-4.413,0,0.0825,0.00566,0.0,0.133,0.721,115.004,188944,4
99,1YN371pd2H8SJTxa6ysnsF,King Veganismus One,Alles.Scheisze - Ökotronic Remix,Obergrenze für Fotzen,7,"3ZOgm09VMn9fWxU9EdqM28, 6FQaIOoSrVt5foqvas7YLD",0.687,0.769,9,-6.586,0,0.0753,0.00502,0.0,0.291,0.912,145.021,219724,4
